replicate,virus,dilution,uL_virus,RLU_per_well,date,cells,for_testing
rep1,Delta_WT,0.025,25,2884431,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.0125,12.5,1435815,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.00625,6.25,683772,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.003125,3.125,440012,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.0015625,1.5625,174388,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.00078125,0.78125,91433,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_WT,0.000390625,0.390625,36386,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.025,25,3456292,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.0125,12.5,1581308,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.00625,6.25,645565,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.003125,3.125,373256,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.0015625,1.5625,205065,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.00078125,0.78125,99582,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_WT,0.000390625,0.390625,53531,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.025,25,4731503,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.0125,12.5,2245126,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.00625,6.25,1218203,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.003125,3.125,835557,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.0015625,1.5625,323165,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.00078125,0.78125,147251,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_S371Y,0.000390625,0.390625,68067,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.025,25,4542693,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.0125,12.5,2280995,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.00625,6.25,1109336,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.003125,3.125,794081,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.0015625,1.5625,280280,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.00078125,0.78125,151172,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_S371Y,0.000390625,0.390625,65931,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R408S,0.025,25,4173809,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R408S,0.0125,12.5,1830872,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R408S,0.00625,6.25,820287,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R408S,0.003125,3.125,483479,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R408S,0.0015625,1.5625,236329,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R408S,0.00078125,0.78125,119450,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R408S,0.000390625,0.390625,53462,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R408S,0.025,25,4206771,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R408S,0.0125,12.5,1625608,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R408S,0.00625,6.25,835870,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R408S,0.003125,3.125,413963,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R408S,0.0015625,1.5625,243042,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R408S,0.00078125,0.78125,124877,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R408S,0.000390625,0.390625,58312,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F456L,0.025,25,5378513,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F456L,0.0125,12.5,2306947,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F456L,0.00625,6.25,1061122,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F456L,0.003125,3.125,518496,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F456L,0.0015625,1.5625,318573,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F456L,0.00078125,0.78125,190558,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F456L,0.000390625,0.390625,70463,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F456L,0.025,25,5238076,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F456L,0.0125,12.5,2243710,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F456L,0.00625,6.25,1083216,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F456L,0.003125,3.125,551899,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F456L,0.0015625,1.5625,313768,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F456L,0.00078125,0.78125,191201,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F456L,0.000390625,0.390625,65618,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R452I,0.025,25,7329501,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R452I,0.0125,12.5,3370106,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R452I,0.00625,6.25,1826306,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R452I,0.003125,3.125,837453,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R452I,0.0015625,1.5625,564858,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R452I,0.00078125,0.78125,277861,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_R452I,0.000390625,0.390625,133563,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R452I,0.025,25,6946119,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R452I,0.0125,12.5,3839229,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R452I,0.00625,6.25,1665154,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R452I,0.003125,3.125,866650,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R452I,0.0015625,1.5625,529289,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R452I,0.00078125,0.78125,250699,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_R452I,0.000390625,0.390625,140018,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_E484A,0.025,25,5634920,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_E484A,0.0125,12.5,2754874,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_E484A,0.00625,6.25,1181035,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_E484A,0.003125,3.125,589074,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_E484A,0.0015625,1.5625,355234,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_E484A,0.00078125,0.78125,169150,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_E484A,0.000390625,0.390625,82578,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_E484A,0.025,25,6105092,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_E484A,0.0125,12.5,3189878,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_E484A,0.00625,6.25,1303088,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_E484A,0.003125,3.125,651172,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_E484A,0.0015625,1.5625,405021,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_E484A,0.00078125,0.78125,211934,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_E484A,0.000390625,0.390625,90476,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F486I,0.025,25,7383446,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F486I,0.0125,12.5,3895297,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F486I,0.00625,6.25,1752747,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F486I,0.003125,3.125,1084613,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F486I,0.0015625,1.5625,472983,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F486I,0.00078125,0.78125,244361,211222,HEK-ACE2-TMPRSS2,serum_validation
rep1,Delta_F486I,0.000390625,0.390625,115007,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F486I,0.025,25,6038733,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F486I,0.0125,12.5,3095101,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F486I,0.00625,6.25,1607102,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F486I,0.003125,3.125,1055503,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F486I,0.0015625,1.5625,397082,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F486I,0.00078125,0.78125,217021,211222,HEK-ACE2-TMPRSS2,serum_validation
rep2,Delta_F486I,0.000390625,0.390625,90798,211222,HEK-ACE2-TMPRSS2,serum_validation